/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld.asm SUCCESS CPI:4.6 CYCLES:269 ICOUNT:58 IHITRATE: 84.9 DHITRATE: 22.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.5 CYCLES:2609 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.4 CYCLES:2521 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 85.0
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.3 CYCLES:2423 ICOUNT:1035 IHITRATE: 98.1 DHITRATE: 96.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.4 CYCLES:2497 ICOUNT:1035 IHITRATE: 98.1 DHITRATE: 87.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.5 CYCLES:2593 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 78.6
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.5 CYCLES:2609 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 77.3
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.5 CYCLES:2601 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 77.9
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.6 CYCLES:2649 ICOUNT:1035 IHITRATE: 98.3 DHITRATE: 74.1
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.4 CYCLES:2529 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 84.2
/u/s/i/sinclair/courses/cs552/spring2019/handouts/testprograms/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.4 CYCLES:2513 ICOUNT:1035 IHITRATE: 98.2 DHITRATE: 85.8
